officialAdministrativeCode	adminArea1	adminArea2	adminArea3	latitude	longitude	nx	ny	officialOrder
1156072000	서울특별시	영등포구	대림제3동	37.495486	126.900211	58	125	325
1159000000	서울특별시	동작구		37.509656	126.941575	59	125	326
1159051000	서울특별시	동작구	노량진제1동	37.509481	126.944086	59	125	327
1159052000	서울특별시	동작구	노량진제2동	37.505733	126.939386	59	125	328
1159053000	서울특별시	동작구	상도제1동	37.50405	126.953022	59	125	329
1159054000	서울특별시	동작구	상도제2동	37.502642	126.9444	59	125	330
1159055000	서울특별시	동작구	상도제3동	37.496367	126.933389	59	125	331
1159056000	서울특별시	동작구	상도제4동	37.497778	126.939875	59	125	332
1159060500	서울특별시	동작구	흑석동	37.506739	126.962611	60	125	333
1159062000	서울특별시	동작구	사당제1동	37.473611	126.975733	60	125	334
1159063000	서울특별시	동작구	사당제2동	37.485619	126.979508	60	125	335
1159064000	서울특별시	동작구	사당제3동	37.483825	126.974086	60	125	336
1159065000	서울특별시	동작구	사당제4동	37.478186	126.973722	60	125	337
1159065100	서울특별시	동작구	사당제5동	37.482797	126.969108	60	125	338
1159066000	서울특별시	동작구	대방동	37.505331	126.928444	59	125	339
1159067000	서울특별시	동작구	신대방제1동	37.48615	126.912108	59	125	340
1159068000	서울특별시	동작구	신대방제2동	37.496122	126.927975	59	125	341
1162000000	서울특별시	관악구		37.475386	126.953844	59	125	342
1162052500	서울특별시	관악구	보라매동	37.485306	126.934886	59	125	343
1162054500	서울특별시	관악구	청림동	37.489039	126.960667	59	125	344
1162056500	서울특별시	관악구	성현동	37.489624	126.948136	59	125	345
1162057500	서울특별시	관악구	행운동	37.477883	126.959033	59	125	346
1162058500	서울특별시	관악구	낙성대동	37.4735	126.960489	60	125	347
1162059500	서울특별시	관악구	청룡동	37.479151	126.94155	59	125	348
1162060500	서울특별시	관악구	은천동	37.485309	126.942428	59	125	349
1162061500	서울특별시	관악구	중앙동	37.481442	126.951756	59	125	350
1162062500	서울특별시	관악구	인헌동	37.472306	126.967375	59	125	351
1162063000	서울특별시	관악구	남현동	37.471789	126.979956	60	125	352
1162064500	서울특별시	관악구	서원동	37.479735	126.9313	59	125	353
1162065500	서울특별시	관악구	신원동	37.478778	126.929419	59	125	354
1162066500	서울특별시	관악구	서림동	37.472164	126.937056	59	125	355
1162068500	서울특별시	관악구	신사동	37.485412	126.91808	59	125	356
1162069500	서울특별시	관악구	신림동	37.487426	126.927075	59	125	357
1162071500	서울특별시	관악구	난향동	37.461429	126.918842	59	124	358
1162072500	서울특별시	관악구	조원동	37.48263	126.907865	59	125	359
1162073500	서울특별시	관악구	대학동	37.470615	126.936991	59	125	360
1162074500	서울특별시	관악구	삼성동	37.470101	126.932963	59	125	361
1162076500	서울특별시	관악구	미성동	37.476176	126.915553	59	125	362
1162077500	서울특별시	관악구	난곡동	37.470963	126.921651	59	125	363
1165000000	서울특별시	서초구		37.480786	127.034811	61	125	364
1165051000	서울특별시	서초구	서초1동	37.486	127.021111	61	125	365
1165052000	서울특별시	서초구	서초2동	37.48925	127.026911	61	125	366
1165053000	서울특별시	서초구	서초3동	37.480783	127.014567	60	125	367
1165053100	서울특별시	서초구	서초4동	37.499856	127.024222	61	125	368
1165054000	서울특별시	서초구	잠원동	37.512089	127.016053	60	126	369
1165055000	서울특별시	서초구	반포본동	37.49765	126.988133	60	125	370
1165056000	서울특별시	서초구	반포1동	37.503319	127.014467	60	125	371
1165057000	서울특별시	서초구	반포2동	37.501783	126.996575	60	125	372
1165058000	서울특별시	서초구	반포3동	37.509172	127.007753	60	125	373
1165058100	서울특별시	서초구	반포4동	37.494758	127.002442	60	125	374
1165059000	서울특별시	서초구	방배본동	37.491444	126.990833	60	125	375
1165060000	서울특별시	서초구	방배1동	37.480558	126.996608	60	125	376
1165061000	서울특별시	서초구	방배2동	37.476967	126.987611	60	125	377
